date,value,type
12:13:45 28/04/2024,996.09,Press2
12:13:55 28/04/2024,18.57,Temp1
12:13:55 28/04/2024,19.08,Temp2
12:13:55 28/04/2024,89.17,Humid1
12:13:55 28/04/2024,42.46,Humid2
12:13:55 28/04/2024,996.77,Press1
12:13:55 28/04/2024,996.06,Press2
12:14:05 28/04/2024,18.58,Temp1
12:14:05 28/04/2024,19.08,Temp2
12:14:05 28/04/2024,88.99,Humid1
12:14:05 28/04/2024,42.46,Humid2
12:14:05 28/04/2024,996.78,Press1
12:14:05 28/04/2024,996.02,Press2
12:14:15 28/04/2024,18.59,Temp1
12:14:15 28/04/2024,19.11,Temp2
12:14:15 28/04/2024,88.88,Humid1
12:14:15 28/04/2024,42.42,Humid2
12:14:15 28/04/2024,996.77,Press1
12:14:15 28/04/2024,996.02,Press2
12:14:25 28/04/2024,18.59,Temp1
12:14:25 28/04/2024,19.11,Temp2
12:14:25 28/04/2024,88.69,Humid1
12:14:25 28/04/2024,42.43,Humid2
12:14:25 28/04/2024,996.7,Press1
12:14:25 28/04/2024,995.99,Press2
12:14:35 28/04/2024,18.6,Temp1
12:14:35 28/04/2024,19.09,Temp2
12:14:35 28/04/2024,88.3,Humid1
12:14:35 28/04/2024,42.24,Humid2
12:14:35 28/04/2024,996.71,Press1
12:14:35 28/04/2024,996.07,Press2
12:14:45 28/04/2024,18.61,Temp1
12:14:45 28/04/2024,19.12,Temp2
12:14:45 28/04/2024,88.25,Humid1
12:14:45 28/04/2024,43.43,Humid2
12:14:45 28/04/2024,996.79,Press1
12:14:45 28/04/2024,996.05,Press2
12:14:55 28/04/2024,18.61,Temp1
12:14:55 28/04/2024,19.19,Temp2
12:14:55 28/04/2024,88.08,Humid1
12:14:55 28/04/2024,44.01,Humid2
12:14:55 28/04/2024,996.73,Press1
12:14:55 28/04/2024,996.05,Press2
12:15:05 28/04/2024,18.61,Temp1
12:15:05 28/04/2024,19.27,Temp2
12:15:05 28/04/2024,87.76,Humid1
12:15:05 28/04/2024,44.06,Humid2
12:15:05 28/04/2024,996.79,Press1
12:15:05 28/04/2024,996.08,Press2
12:15:15 28/04/2024,18.62,Temp1
12:15:15 28/04/2024,19.31,Temp2
12:15:15 28/04/2024,87.55,Humid1
12:15:15 28/04/2024,44.16,Humid2
12:15:15 28/04/2024,996.77,Press1
12:15:15 28/04/2024,996.04,Press2
12:15:25 28/04/2024,18.61,Temp1
12:15:25 28/04/2024,19.36,Temp2
12:15:25 28/04/2024,87.41,Humid1
12:15:25 28/04/2024,43.89,Humid2
12:15:25 28/04/2024,996.75,Press1
12:15:25 28/04/2024,996.07,Press2
12:15:35 28/04/2024,18.62,Temp1
12:15:35 28/04/2024,19.4,Temp2
12:15:35 28/04/2024,87.38,Humid1
12:15:35 28/04/2024,43.44,Humid2
12:15:35 28/04/2024,996.83,Press1
12:15:35 28/04/2024,996.08,Press2
12:15:45 28/04/2024,18.62,Temp1
12:15:45 28/04/2024,19.43,Temp2
12:15:45 28/04/2024,87.4,Humid1
12:15:45 28/04/2024,43.82,Humid2
12:15:45 28/04/2024,996.69,Press1
12:15:45 28/04/2024,996.0,Press2
12:15:55 28/04/2024,18.64,Temp1
12:15:55 28/04/2024,19.46,Temp2
12:15:55 28/04/2024,87.47,Humid1
12:15:55 28/04/2024,43.49,Humid2
12:15:55 28/04/2024,996.72,Press1
12:15:55 28/04/2024,995.97,Press2
12:16:05 28/04/2024,18.64,Temp1
12:16:05 28/04/2024,19.47,Temp2
12:16:05 28/04/2024,87.53,Humid1
12:16:05 28/04/2024,43.43,Humid2
12:16:05 28/04/2024,996.7,Press1
12:16:05 28/04/2024,995.93,Press2
12:16:15 28/04/2024,18.64,Temp1
12:16:15 28/04/2024,19.5,Temp2
12:16:15 28/04/2024,87.59,Humid1
12:16:15 28/04/2024,43.68,Humid2
12:16:15 28/04/2024,996.78,Press1
12:16:15 28/04/2024,995.98,Press2
12:16:25 28/04/2024,18.65,Temp1
12:16:25 28/04/2024,19.51,Temp2
12:16:25 28/04/2024,87.69,Humid1
12:16:25 28/04/2024,43.52,Humid2
12:16:25 28/04/2024,996.77,Press1
12:16:25 28/04/2024,996.0,Press2
12:16:36 28/04/2024,18.65,Temp1
12:16:36 28/04/2024,19.51,Temp2
12:16:36 28/04/2024,87.78,Humid1
12:16:36 28/04/2024,43.57,Humid2
12:16:36 28/04/2024,996.72,Press1
12:16:36 28/04/2024,995.98,Press2
12:16:46 28/04/2024,18.64,Temp1
12:16:46 28/04/2024,19.52,Temp2
12:16:46 28/04/2024,87.87,Humid1
12:16:46 28/04/2024,43.43,Humid2
12:16:46 28/04/2024,996.7,Press1
12:16:46 28/04/2024,996.08,Press2
12:16:56 28/04/2024,18.66,Temp1
12:16:56 28/04/2024,19.54,Temp2
12:16:56 28/04/2024,87.96,Humid1
12:16:56 28/04/2024,43.2,Humid2
12:16:56 28/04/2024,996.72,Press1
12:16:56 28/04/2024,996.03,Press2
12:17:07 28/04/2024,18.66,Temp1
12:17:07 28/04/2024,19.54,Temp2
12:17:07 28/04/2024,88.04,Humid1
12:17:07 28/04/2024,43.46,Humid2
12:17:07 28/04/2024,996.76,Press1
12:17:07 28/04/2024,996.0,Press2
12:17:18 28/04/2024,18.66,Temp1
12:17:18 28/04/2024,19.55,Temp2
12:17:18 28/04/2024,88.13,Humid1
12:17:18 28/04/2024,43.2,Humid2
12:17:18 28/04/2024,996.75,Press1
12:17:18 28/04/2024,996.12,Press2
12:17:28 28/04/2024,18.66,Temp1
12:17:28 28/04/2024,19.54,Temp2
12:17:28 28/04/2024,88.21,Humid1
12:17:28 28/04/2024,43.27,Humid2
12:17:28 28/04/2024,996.78,Press1
12:17:28 28/04/2024,996.05,Press2
12:17:41 28/04/2024,18.65,Temp1
12:17:41 28/04/2024,19.55,Temp2
12:17:41 28/04/2024,88.26,Humid1
12:17:41 28/04/2024,43.51,Humid2
12:17:41 28/04/2024,996.69,Press1
12:17:41 28/04/2024,995.99,Press2
12:17:52 28/04/2024,18.64,Temp1
12:17:52 28/04/2024,19.56,Temp2
12:17:52 28/04/2024,88.31,Humid1
12:17:52 28/04/2024,43.28,Humid2
12:17:52 28/04/2024,996.75,Press1
12:17:52 28/04/2024,996.0,Press2
12:18:01 28/04/2024,18.65,Temp1
12:18:01 28/04/2024,19.55,Temp2
12:18:01 28/04/2024,88.41,Humid1
12:18:01 28/04/2024,43.1,Humid2
12:18:01 28/04/2024,996.71,Press1
12:18:01 28/04/2024,995.99,Press2
12:18:12 28/04/2024,18.65,Temp1
12:18:12 28/04/2024,19.57,Temp2
12:18:12 28/04/2024,88.44,Humid1
12:18:12 28/04/2024,43.22,Humid2
12:18:12 28/04/2024,996.76,Press1
12:18:12 28/04/2024,996.02,Press2
12:18:24 28/04/2024,18.65,Temp1
12:18:24 28/04/2024,19.56,Temp2
12:18:24 28/04/2024,88.5,Humid1
12:18:24 28/04/2024,43.43,Humid2
12:18:24 28/04/2024,996.83,Press1
12:18:24 28/04/2024,996.01,Press2
12:18:34 28/04/2024,18.65,Temp1
12:18:34 28/04/2024,19.57,Temp2
12:18:34 28/04/2024,88.54,Humid1
12:18:34 28/04/2024,43.41,Humid2
12:18:34 28/04/2024,996.71,Press1
12:18:34 28/04/2024,996.05,Press2
12:18:45 28/04/2024,18.64,Temp1
12:18:45 28/04/2024,19.57,Temp2
12:18:45 28/04/2024,88.58,Humid1
12:18:45 28/04/2024,43.27,Humid2
12:18:45 28/04/2024,996.81,Press1
12:18:45 28/04/2024,995.97,Press2
12:18:55 28/04/2024,18.64,Temp1
12:18:55 28/04/2024,19.57,Temp2
12:18:55 28/04/2024,88.63,Humid1
12:18:55 28/04/2024,43.36,Humid2
12:18:55 28/04/2024,996.81,Press1
12:18:55 28/04/2024,996.05,Press2
12:19:05 28/04/2024,18.64,Temp1
12:19:05 28/04/2024,19.58,Temp2
12:19:05 28/04/2024,88.67,Humid1
12:19:05 28/04/2024,43.16,Humid2
12:19:05 28/04/2024,996.75,Press1
12:19:05 28/04/2024,996.02,Press2
12:19:16 28/04/2024,18.63,Temp1
12:19:16 28/04/2024,19.57,Temp2
12:19:16 28/04/2024,88.74,Humid1
12:19:16 28/04/2024,43.14,Humid2
12:19:16 28/04/2024,996.73,Press1
12:19:16 28/04/2024,996.0,Press2
12:19:27 28/04/2024,18.63,Temp1
12:19:27 28/04/2024,19.58,Temp2
12:19:27 28/04/2024,88.74,Humid1
12:19:27 28/04/2024,43.01,Humid2
12:19:27 28/04/2024,996.73,Press1
12:19:27 28/04/2024,995.95,Press2
12:19:43 28/04/2024,18.64,Temp1
12:19:43 28/04/2024,19.57,Temp2
12:19:43 28/04/2024,88.82,Humid1
12:19:43 28/04/2024,42.96,Humid2
12:19:43 28/04/2024,996.75,Press1
12:19:43 28/04/2024,996.05,Press2
12:19:53 28/04/2024,18.63,Temp1
12:19:53 28/04/2024,19.58,Temp2
12:19:53 28/04/2024,88.84,Humid1
12:19:53 28/04/2024,42.74,Humid2
12:19:53 28/04/2024,996.76,Press1
12:19:53 28/04/2024,996.07,Press2
12:20:04 28/04/2024,18.63,Temp1
12:20:04 28/04/2024,19.57,Temp2
12:20:04 28/04/2024,88.89,Humid1
12:20:04 28/04/2024,43.14,Humid2
12:20:04 28/04/2024,996.79,Press1
12:20:04 28/04/2024,996.0,Press2
12:20:15 28/04/2024,18.63,Temp1
12:20:15 28/04/2024,19.57,Temp2
12:20:15 28/04/2024,88.92,Humid1
12:20:15 28/04/2024,42.93,Humid2
12:20:15 28/04/2024,996.78,Press1
12:20:15 28/04/2024,996.03,Press2
12:20:25 28/04/2024,18.62,Temp1
12:20:25 28/04/2024,19.58,Temp2
12:20:25 28/04/2024,88.97,Humid1
12:20:25 28/04/2024,42.94,Humid2
12:20:25 28/04/2024,996.71,Press1
12:20:25 28/04/2024,996.07,Press2
12:20:35 28/04/2024,18.63,Temp1
12:20:35 28/04/2024,19.56,Temp2
12:20:35 28/04/2024,89.02,Humid1
12:20:35 28/04/2024,43.46,Humid2
12:20:35 28/04/2024,996.7,Press1
12:20:35 28/04/2024,995.95,Press2
12:20:46 28/04/2024,18.62,Temp1
12:20:46 28/04/2024,19.56,Temp2
12:20:46 28/04/2024,89.05,Humid1
12:20:46 28/04/2024,43.32,Humid2
12:20:46 28/04/2024,996.78,Press1
12:20:46 28/04/2024,996.03,Press2
12:20:58 28/04/2024,18.61,Temp1
12:20:58 28/04/2024,19.53,Temp2
12:20:58 28/04/2024,89.12,Humid1
12:20:58 28/04/2024,42.96,Humid2
12:20:58 28/04/2024,996.65,Press1
12:20:58 28/04/2024,995.97,Press2
12:21:10 28/04/2024,18.62,Temp1
12:21:10 28/04/2024,19.52,Temp2
12:21:10 28/04/2024,89.15,Humid1
12:21:10 28/04/2024,43.37,Humid2
12:21:10 28/04/2024,996.71,Press1
12:21:10 28/04/2024,995.97,Press2
12:21:21 28/04/2024,18.61,Temp1
12:21:21 28/04/2024,19.55,Temp2
12:21:21 28/04/2024,89.15,Humid1
12:21:21 28/04/2024,43.36,Humid2
12:21:21 28/04/2024,996.73,Press1
12:21:21 28/04/2024,996.04,Press2
12:21:32 28/04/2024,18.62,Temp1
12:21:32 28/04/2024,19.55,Temp2
12:21:32 28/04/2024,89.19,Humid1
12:21:32 28/04/2024,43.17,Humid2
12:21:32 28/04/2024,996.74,Press1
12:21:32 28/04/2024,996.01,Press2
12:21:47 28/04/2024,18.62,Temp1
12:21:47 28/04/2024,19.55,Temp2
12:21:47 28/04/2024,89.21,Humid1
12:21:47 28/04/2024,43.24,Humid2
12:21:47 28/04/2024,996.71,Press1
12:21:47 28/04/2024,996.01,Press2
12:21:58 28/04/2024,18.61,Temp1
12:21:58 28/04/2024,19.56,Temp2
12:21:58 28/04/2024,89.21,Humid1
12:21:58 28/04/2024,43.56,Humid2
12:21:58 28/04/2024,996.7,Press1
12:21:58 28/04/2024,995.95,Press2
12:22:09 28/04/2024,18.61,Temp1
12:22:09 28/04/2024,19.56,Temp2
12:22:09 28/04/2024,89.21,Humid1
12:22:09 28/04/2024,43.43,Humid2
12:22:09 28/04/2024,996.67,Press1
12:22:09 28/04/2024,995.98,Press2
12:22:20 28/04/2024,18.61,Temp1
12:22:20 28/04/2024,19.57,Temp2
12:22:20 28/04/2024,89.24,Humid1
12:22:20 28/04/2024,43.63,Humid2
12:22:20 28/04/2024,996.64,Press1
12:22:20 28/04/2024,995.97,Press2
12:22:30 28/04/2024,18.61,Temp1
12:22:30 28/04/2024,19.57,Temp2
12:22:30 28/04/2024,89.25,Humid1
12:22:30 28/04/2024,43.29,Humid2
12:22:30 28/04/2024,996.65,Press1
12:22:30 28/04/2024,995.96,Press2
12:22:41 28/04/2024,18.61,Temp1
12:22:41 28/04/2024,19.57,Temp2
12:22:41 28/04/2024,89.25,Humid1
12:22:41 28/04/2024,43.56,Humid2
12:22:41 28/04/2024,996.64,Press1
12:22:41 28/04/2024,996.0,Press2
12:22:52 28/04/2024,18.62,Temp1
12:22:52 28/04/2024,19.57,Temp2
12:22:52 28/04/2024,89.28,Humid1
12:22:52 28/04/2024,43.31,Humid2
12:22:52 28/04/2024,996.68,Press1
12:22:52 28/04/2024,995.95,Press2
12:23:03 28/04/2024,18.6,Temp1
12:23:03 28/04/2024,19.57,Temp2
12:23:03 28/04/2024,89.31,Humid1
12:23:03 28/04/2024,43.23,Humid2
12:23:03 28/04/2024,996.71,Press1
12:23:03 28/04/2024,995.95,Press2
12:23:18 28/04/2024,18.61,Temp1
12:23:18 28/04/2024,19.57,Temp2
12:23:18 28/04/2024,89.32,Humid1
12:23:18 28/04/2024,43.14,Humid2
12:23:18 28/04/2024,996.78,Press1
12:23:18 28/04/2024,995.94,Press2
12:23:27 28/04/2024,18.61,Temp1
12:23:27 28/04/2024,19.57,Temp2
12:23:27 28/04/2024,89.3,Humid1
12:23:27 28/04/2024,43.17,Humid2
12:23:27 28/04/2024,996.73,Press1
12:23:27 28/04/2024,996.0,Press2
12:23:38 28/04/2024,18.6,Temp1
12:23:38 28/04/2024,19.58,Temp2
12:23:38 28/04/2024,89.32,Humid1
12:23:38 28/04/2024,43.1,Humid2
12:23:38 28/04/2024,996.69,Press1
12:23:38 28/04/2024,995.98,Press2
12:23:48 28/04/2024,18.61,Temp1
12:23:48 28/04/2024,19.57,Temp2
12:23:48 28/04/2024,89.32,Humid1
12:23:48 28/04/2024,42.92,Humid2
12:23:48 28/04/2024,996.72,Press1
12:23:48 28/04/2024,995.92,Press2
12:23:58 28/04/2024,18.6,Temp1
12:23:58 28/04/2024,19.58,Temp2
12:23:58 28/04/2024,89.34,Humid1
12:23:58 28/04/2024,43.25,Humid2
12:23:58 28/04/2024,996.73,Press1
12:23:58 28/04/2024,996.02,Press2
12:24:08 28/04/2024,18.6,Temp1
12:24:08 28/04/2024,19.58,Temp2
12:24:08 28/04/2024,89.35,Humid1
12:24:08 28/04/2024,43.07,Humid2
12:24:08 28/04/2024,996.74,Press1
12:24:08 28/04/2024,995.96,Press2
12:24:19 28/04/2024,21.68,Temp1
12:24:19 28/04/2024,19.57,Temp2
12:24:19 28/04/2024,46.06,Humid1
12:24:19 28/04/2024,43.06,Humid2
12:24:19 28/04/2024,1047.3,Press1
12:24:19 28/04/2024,995.95,Press2
12:24:29 28/04/2024,18.61,Temp1
12:24:29 28/04/2024,19.57,Temp2
12:24:29 28/04/2024,89.36,Humid1
12:24:29 28/04/2024,43.49,Humid2
12:24:29 28/04/2024,996.79,Press1
12:24:29 28/04/2024,996.0,Press2
12:24:39 28/04/2024,18.6,Temp1
12:24:39 28/04/2024,19.58,Temp2
12:24:39 28/04/2024,89.35,Humid1
12:24:39 28/04/2024,43.31,Humid2
12:24:39 28/04/2024,996.71,Press1
12:24:39 28/04/2024,995.98,Press2
12:24:50 28/04/2024,18.6,Temp1
12:24:50 28/04/2024,19.59,Temp2
12:24:50 28/04/2024,89.36,Humid1
12:24:50 28/04/2024,43.37,Humid2
12:24:50 28/04/2024,996.71,Press1
12:24:50 28/04/2024,996.03,Press2
12:25:00 28/04/2024,18.6,Temp1
12:25:00 28/04/2024,19.58,Temp2
12:25:00 28/04/2024,89.36,Humid1
12:25:00 28/04/2024,43.16,Humid2
12:25:00 28/04/2024,996.71,Press1
12:25:00 28/04/2024,996.02,Press2
12:25:11 28/04/2024,18.6,Temp1
12:25:11 28/04/2024,19.59,Temp2
12:25:11 28/04/2024,89.4,Humid1
12:25:11 28/04/2024,43.47,Humid2
12:25:11 28/04/2024,996.79,Press1
12:25:11 28/04/2024,996.11,Press2
12:25:21 28/04/2024,18.59,Temp1
12:25:21 28/04/2024,19.58,Temp2
12:25:21 28/04/2024,89.39,Humid1
12:25:21 28/04/2024,42.97,Humid2
12:25:21 28/04/2024,996.78,Press1
12:25:21 28/04/2024,996.1,Press2
12:25:31 28/04/2024,18.6,Temp1
12:25:31 28/04/2024,19.58,Temp2
12:25:31 28/04/2024,89.42,Humid1
12:25:31 28/04/2024,43.16,Humid2
12:25:31 28/04/2024,996.8,Press1
12:25:31 28/04/2024,995.98,Press2
12:25:42 28/04/2024,18.6,Temp1
12:25:42 28/04/2024,19.57,Temp2
12:25:42 28/04/2024,89.44,Humid1
12:25:42 28/04/2024,43.02,Humid2
12:25:42 28/04/2024,996.8,Press1
12:25:42 28/04/2024,996.05,Press2
12:25:52 28/04/2024,18.6,Temp1
12:25:52 28/04/2024,19.58,Temp2
12:25:52 28/04/2024,89.46,Humid1
12:25:52 28/04/2024,43.32,Humid2
12:25:52 28/04/2024,996.71,Press1
12:25:52 28/04/2024,995.98,Press2
12:26:03 28/04/2024,18.61,Temp1
12:26:03 28/04/2024,19.56,Temp2
12:26:03 28/04/2024,89.46,Humid1
12:26:03 28/04/2024,43.03,Humid2
12:26:03 28/04/2024,996.7,Press1
12:26:03 28/04/2024,996.03,Press2
12:26:12 28/04/2024,18.6,Temp1
12:26:12 28/04/2024,19.56,Temp2
12:26:12 28/04/2024,89.5,Humid1
12:26:12 28/04/2024,42.98,Humid2
12:26:12 28/04/2024,996.74,Press1
12:26:12 28/04/2024,996.06,Press2
12:26:23 28/04/2024,18.61,Temp1
12:26:23 28/04/2024,19.56,Temp2
12:26:23 28/04/2024,89.51,Humid1
12:26:23 28/04/2024,42.87,Humid2
12:26:23 28/04/2024,996.72,Press1
12:26:23 28/04/2024,995.97,Press2
12:26:34 28/04/2024,18.61,Temp1
12:26:34 28/04/2024,19.57,Temp2
12:26:34 28/04/2024,89.51,Humid1
12:26:34 28/04/2024,42.93,Humid2
12:26:34 28/04/2024,996.75,Press1
12:26:34 28/04/2024,996.03,Press2
12:26:44 28/04/2024,18.6,Temp1
12:26:44 28/04/2024,19.55,Temp2
12:26:44 28/04/2024,89.52,Humid1
12:26:44 28/04/2024,43.34,Humid2
12:26:44 28/04/2024,996.85,Press1
12:26:44 28/04/2024,996.02,Press2
12:26:55 28/04/2024,18.6,Temp1
12:26:55 28/04/2024,19.57,Temp2
12:26:55 28/04/2024,89.54,Humid1
12:26:55 28/04/2024,43.27,Humid2
12:26:55 28/04/2024,996.82,Press1
12:26:55 28/04/2024,996.02,Press2
12:27:06 28/04/2024,18.6,Temp1
12:27:06 28/04/2024,19.58,Temp2
12:27:06 28/04/2024,89.54,Humid1
12:27:06 28/04/2024,43.49,Humid2
12:27:06 28/04/2024,996.77,Press1
12:27:06 28/04/2024,996.1,Press2
12:27:16 28/04/2024,18.61,Temp1
12:27:16 28/04/2024,19.59,Temp2
12:27:16 28/04/2024,89.56,Humid1
12:27:16 28/04/2024,43.25,Humid2
12:27:16 28/04/2024,996.81,Press1
12:27:16 28/04/2024,996.06,Press2
12:27:27 28/04/2024,18.61,Temp1
12:27:27 28/04/2024,19.6,Temp2
12:27:27 28/04/2024,89.55,Humid1
12:27:27 28/04/2024,43.44,Humid2
12:27:27 28/04/2024,996.81,Press1
12:27:27 28/04/2024,996.04,Press2
12:27:37 28/04/2024,18.61,Temp1
12:27:37 28/04/2024,19.61,Temp2
12:27:37 28/04/2024,89.56,Humid1
12:27:37 28/04/2024,43.16,Humid2
12:27:37 28/04/2024,996.84,Press1
12:27:37 28/04/2024,996.09,Press2
12:27:48 28/04/2024,18.62,Temp1
12:27:48 28/04/2024,19.61,Temp2
12:27:48 28/04/2024,89.56,Humid1
12:27:48 28/04/2024,43.15,Humid2
12:27:48 28/04/2024,996.77,Press1
12:27:48 28/04/2024,996.03,Press2
12:27:58 28/04/2024,18.61,Temp1
12:27:58 28/04/2024,19.62,Temp2
12:27:58 28/04/2024,89.54,Humid1
12:27:58 28/04/2024,43.13,Humid2
12:27:58 28/04/2024,996.76,Press1
12:27:58 28/04/2024,996.02,Press2
12:28:09 28/04/2024,18.61,Temp1
12:28:09 28/04/2024,19.63,Temp2
12:28:09 28/04/2024,89.54,Humid1
12:28:09 28/04/2024,43.2,Humid2
12:28:09 28/04/2024,996.79,Press1
12:28:09 28/04/2024,996.09,Press2
12:28:19 28/04/2024,18.62,Temp1
12:28:19 28/04/2024,19.62,Temp2
12:28:19 28/04/2024,89.55,Humid1
12:28:19 28/04/2024,43.28,Humid2
12:28:19 28/04/2024,996.79,Press1
12:28:19 28/04/2024,996.06,Press2
12:28:30 28/04/2024,18.61,Temp1
12:28:30 28/04/2024,19.63,Temp2
12:28:30 28/04/2024,89.54,Humid1
12:28:30 28/04/2024,43.46,Humid2
12:28:30 28/04/2024,996.76,Press1
12:28:30 28/04/2024,996.09,Press2
12:28:40 28/04/2024,18.61,Temp1
12:28:40 28/04/2024,19.63,Temp2
12:28:40 28/04/2024,89.54,Humid1
12:28:40 28/04/2024,43.32,Humid2
12:28:40 28/04/2024,996.81,Press1
12:28:40 28/04/2024,996.04,Press2
12:28:52 28/04/2024,18.61,Temp1
12:28:52 28/04/2024,19.63,Temp2
12:28:52 28/04/2024,89.53,Humid1
12:28:52 28/04/2024,43.13,Humid2
12:28:52 28/04/2024,996.75,Press1
12:28:52 28/04/2024,996.04,Press2
12:29:02 28/04/2024,18.61,Temp1
12:29:02 28/04/2024,19.63,Temp2
12:29:02 28/04/2024,89.53,Humid1
12:29:02 28/04/2024,43.2,Humid2
12:29:02 28/04/2024,996.83,Press1
12:29:02 28/04/2024,996.1,Press2
12:29:13 28/04/2024,18.62,Temp1
12:29:13 28/04/2024,19.63,Temp2
12:29:13 28/04/2024,89.54,Humid1
12:29:13 28/04/2024,43.11,Humid2
12:29:13 28/04/2024,996.82,Press1
12:29:13 28/04/2024,996.09,Press2
12:29:24 28/04/2024,18.61,Temp1
12:29:24 28/04/2024,19.63,Temp2
12:29:24 28/04/2024,89.53,Humid1
12:29:24 28/04/2024,43.39,Humid2
12:29:24 28/04/2024,996.76,Press1
12:29:24 28/04/2024,996.0,Press2
12:29:34 28/04/2024,18.62,Temp1
12:29:34 28/04/2024,19.63,Temp2
12:29:34 28/04/2024,89.53,Humid1
12:29:34 28/04/2024,43.3,Humid2
12:29:34 28/04/2024,996.79,Press1
12:29:34 28/04/2024,996.01,Press2
12:29:45 28/04/2024,18.61,Temp1
12:29:45 28/04/2024,19.63,Temp2
12:29:45 28/04/2024,89.54,Humid1
12:29:45 28/04/2024,43.51,Humid2
12:29:45 28/04/2024,996.78,Press1
12:29:45 28/04/2024,996.07,Press2
12:29:56 28/04/2024,18.6,Temp1
12:29:56 28/04/2024,19.62,Temp2
12:29:56 28/04/2024,89.53,Humid1
12:29:56 28/04/2024,43.44,Humid2
12:29:56 28/04/2024,996.79,Press1
12:29:56 28/04/2024,996.03,Press2
12:30:06 28/04/2024,18.61,Temp1
12:30:06 28/04/2024,19.64,Temp2
12:30:06 28/04/2024,89.53,Humid1
12:30:06 28/04/2024,43.09,Humid2
12:30:06 28/04/2024,996.7,Press1
12:30:06 28/04/2024,996.0,Press2
12:30:17 28/04/2024,18.61,Temp1
12:30:17 28/04/2024,19.64,Temp2
12:30:17 28/04/2024,89.55,Humid1
12:30:17 28/04/2024,43.34,Humid2
12:30:17 28/04/2024,996.76,Press1
12:30:17 28/04/2024,996.03,Press2
12:30:27 28/04/2024,18.61,Temp1
12:30:27 28/04/2024,19.63,Temp2
12:30:27 28/04/2024,89.55,Humid1
12:30:27 28/04/2024,43.27,Humid2
12:30:27 28/04/2024,996.78,Press1
12:30:27 28/04/2024,996.02,Press2
12:30:38 28/04/2024,18.6,Temp1
12:30:38 28/04/2024,19.64,Temp2
12:30:38 28/04/2024,89.54,Humid1
12:30:38 28/04/2024,43.49,Humid2
12:30:38 28/04/2024,996.77,Press1
12:30:38 28/04/2024,996.01,Press2
12:30:49 28/04/2024,18.62,Temp1
12:30:49 28/04/2024,19.66,Temp2
12:30:49 28/04/2024,89.56,Humid1
12:30:49 28/04/2024,43.48,Humid2
12:30:49 28/04/2024,996.79,Press1
12:30:49 28/04/2024,996.05,Press2
12:31:00 28/04/2024,18.6,Temp1
12:31:00 28/04/2024,19.66,Temp2
12:31:00 28/04/2024,89.56,Humid1
12:31:00 28/04/2024,43.48,Humid2
12:31:00 28/04/2024,996.73,Press1
12:31:00 28/04/2024,995.99,Press2
12:31:11 28/04/2024,18.61,Temp1
12:31:11 28/04/2024,19.65,Temp2
12:31:11 28/04/2024,89.59,Humid1
12:31:11 28/04/2024,43.3,Humid2
12:31:11 28/04/2024,996.81,Press1
12:31:11 28/04/2024,996.0,Press2
12:31:21 28/04/2024,18.61,Temp1
12:31:21 28/04/2024,19.65,Temp2
12:31:21 28/04/2024,89.57,Humid1
12:31:21 28/04/2024,43.14,Humid2
12:31:21 28/04/2024,996.81,Press1
12:31:21 28/04/2024,996.03,Press2
12:31:32 28/04/2024,18.61,Temp1
12:31:32 28/04/2024,19.66,Temp2
12:31:32 28/04/2024,89.56,Humid1
12:31:32 28/04/2024,43.02,Humid2
12:31:32 28/04/2024,996.81,Press1
12:31:32 28/04/2024,996.04,Press2
12:31:43 28/04/2024,18.61,Temp1
12:31:43 28/04/2024,19.65,Temp2
12:31:43 28/04/2024,89.57,Humid1
12:31:43 28/04/2024,43.09,Humid2
12:31:43 28/04/2024,996.81,Press1
12:31:43 28/04/2024,996.06,Press2
12:31:55 28/04/2024,18.61,Temp1
12:31:55 28/04/2024,19.63,Temp2
12:31:55 28/04/2024,89.58,Humid1
12:31:55 28/04/2024,43.21,Humid2
12:31:55 28/04/2024,996.81,Press1
12:31:55 28/04/2024,996.0,Press2
12:32:06 28/04/2024,18.61,Temp1
12:32:06 28/04/2024,19.64,Temp2
12:32:06 28/04/2024,89.58,Humid1
12:32:06 28/04/2024,43.21,Humid2
12:32:06 28/04/2024,996.81,Press1
12:32:06 28/04/2024,996.04,Press2
12:32:17 28/04/2024,18.6,Temp1
12:32:17 28/04/2024,19.65,Temp2
12:32:17 28/04/2024,89.57,Humid1
12:32:17 28/04/2024,43.03,Humid2
12:32:17 28/04/2024,996.73,Press1
12:32:17 28/04/2024,996.0,Press2
12:32:28 28/04/2024,18.6,Temp1
12:32:28 28/04/2024,19.65,Temp2
12:32:28 28/04/2024,89.57,Humid1
12:32:28 28/04/2024,43.37,Humid2
12:32:28 28/04/2024,996.8,Press1
12:32:28 28/04/2024,996.08,Press2
12:32:39 28/04/2024,18.6,Temp1
12:32:39 28/04/2024,19.66,Temp2
12:32:39 28/04/2024,89.57,Humid1
12:32:39 28/04/2024,42.93,Humid2
12:32:39 28/04/2024,996.74,Press1
12:32:39 28/04/2024,996.04,Press2
12:32:50 28/04/2024,18.61,Temp1
12:32:50 28/04/2024,19.65,Temp2
12:32:50 28/04/2024,89.57,Humid1
12:32:50 28/04/2024,43.09,Humid2
12:32:50 28/04/2024,996.81,Press1
12:32:50 28/04/2024,996.03,Press2
12:33:01 28/04/2024,18.6,Temp1
12:33:01 28/04/2024,19.66,Temp2
