date,value,type
10:05:25 28/04/2024,91.02,Humid1
10:05:25 28/04/2024,45.04,Humid2
10:05:25 28/04/2024,996.03,Press1
10:05:25 28/04/2024,995.29,Press2
10:05:35 28/04/2024,18.16,Temp1
10:05:35 28/04/2024,18.98,Temp2
10:05:35 28/04/2024,91.02,Humid1
10:05:35 28/04/2024,44.48,Humid2
10:05:35 28/04/2024,996.27,Press1
10:05:35 28/04/2024,995.47,Press2
10:05:45 28/04/2024,18.16,Temp1
10:05:45 28/04/2024,18.98,Temp2
10:05:45 28/04/2024,91.01,Humid1
10:05:45 28/04/2024,44.86,Humid2
10:05:45 28/04/2024,996.1,Press1
10:05:45 28/04/2024,995.42,Press2
10:05:55 28/04/2024,18.14,Temp1
10:05:55 28/04/2024,18.98,Temp2
10:05:55 28/04/2024,91.02,Humid1
10:05:55 28/04/2024,44.92,Humid2
10:05:55 28/04/2024,996.1,Press1
10:05:55 28/04/2024,995.36,Press2
10:06:05 28/04/2024,18.16,Temp1
10:06:05 28/04/2024,18.96,Temp2
10:06:05 28/04/2024,91.02,Humid1
10:06:05 28/04/2024,44.43,Humid2
10:06:05 28/04/2024,996.05,Press1
10:06:05 28/04/2024,995.35,Press2
10:06:15 28/04/2024,18.14,Temp1
10:06:15 28/04/2024,18.95,Temp2
10:06:15 28/04/2024,91.02,Humid1
10:06:15 28/04/2024,44.14,Humid2
10:06:15 28/04/2024,996.02,Press1
10:06:15 28/04/2024,995.35,Press2
10:06:25 28/04/2024,18.16,Temp1
10:06:25 28/04/2024,18.94,Temp2
10:06:25 28/04/2024,91.03,Humid1
10:06:25 28/04/2024,44.75,Humid2
10:06:25 28/04/2024,996.1,Press1
10:06:25 28/04/2024,995.35,Press2
10:06:35 28/04/2024,18.17,Temp1
10:06:35 28/04/2024,18.95,Temp2
10:06:35 28/04/2024,91.02,Humid1
10:06:35 28/04/2024,44.98,Humid2
10:06:35 28/04/2024,996.06,Press1
10:06:35 28/04/2024,995.38,Press2
10:06:45 28/04/2024,18.17,Temp1
10:06:45 28/04/2024,18.96,Temp2
10:06:45 28/04/2024,91.02,Humid1
10:06:45 28/04/2024,44.7,Humid2
10:06:45 28/04/2024,996.12,Press1
10:06:45 28/04/2024,995.37,Press2
10:06:55 28/04/2024,18.15,Temp1
10:06:55 28/04/2024,18.95,Temp2
10:06:55 28/04/2024,91.02,Humid1
10:06:55 28/04/2024,44.56,Humid2
10:06:55 28/04/2024,996.09,Press1
10:06:55 28/04/2024,995.34,Press2
10:07:05 28/04/2024,18.15,Temp1
10:07:05 28/04/2024,18.96,Temp2
10:07:05 28/04/2024,91.03,Humid1
10:07:05 28/04/2024,45.01,Humid2
10:07:05 28/04/2024,996.07,Press1
10:07:05 28/04/2024,995.3,Press2
10:07:15 28/04/2024,18.15,Temp1
10:07:15 28/04/2024,18.97,Temp2
10:07:15 28/04/2024,91.02,Humid1
10:07:15 28/04/2024,44.6,Humid2
10:07:15 28/04/2024,996.11,Press1
10:07:15 28/04/2024,995.34,Press2
10:07:25 28/04/2024,18.16,Temp1
10:07:25 28/04/2024,18.96,Temp2
10:07:25 28/04/2024,91.01,Humid1
10:07:25 28/04/2024,44.46,Humid2
10:07:25 28/04/2024,996.03,Press1
10:07:25 28/04/2024,995.37,Press2
10:07:35 28/04/2024,18.16,Temp1
10:07:35 28/04/2024,18.93,Temp2
10:07:35 28/04/2024,91.02,Humid1
10:07:35 28/04/2024,44.34,Humid2
10:07:35 28/04/2024,996.07,Press1
10:07:35 28/04/2024,995.38,Press2
10:07:45 28/04/2024,18.15,Temp1
10:07:45 28/04/2024,18.92,Temp2
10:07:45 28/04/2024,91.02,Humid1
10:07:45 28/04/2024,44.51,Humid2
